GbCity,GbProv,City_CH,City_EN,Prov_CH,Prov_EN
1100,11,北京市,Beijing,北京市,Beijing
1200,12,天津市,Tianjin,天津市,Tianjin
1301,13,石家庄市,Shijiazhuang,河北省,Hebei
1302,13,唐山市,Tangshan,河北省,Hebei
1303,13,秦皇岛市,Qinhuangdao,河北省,Hebei
1304,13,邯郸市,Handan,河北省,Hebei
1305,13,邢台市,Xingtai,河北省,Hebei
1306,13,保定市,Baoding,河北省,Hebei
1307,13,张家口市,Zhangjiakou,河北省,Hebei
1308,13,承德市,Chengde,河北省,Hebei
1309,13,沧州市,Cangzhou,河北省,Hebei
1310,13,廊坊市,Langfang,河北省,Hebei
1311,13,衡水市,Hengshui,河北省,Hebei
1401,14,太原市,Taiyuan,山西省,Shanxi
1402,14,大同市,Datong,山西省,Shanxi
1403,14,阳泉市,Yangquan,山西省,Shanxi
1404,14,长治市,Changzhi,山西省,Shanxi
1405,14,晋城市,Jincheng,山西省,Shanxi
1406,14,朔州市,Shuozhou,山西省,Shanxi
1407,14,晋中市,Jinzhong,山西省,Shanxi
1408,14,运城市,Yuncheng,山西省,Shanxi
1409,14,忻州市,Xinzhou,山西省,Shanxi
1410,14,临汾市,Linfen,山西省,Shanxi
1423,14,吕梁地区,Lvliangdiqu,山西省,Shanxi
1501,15,呼和浩特市,Huhehaote,内蒙古,Neimenggu
1502,15,包头市,Baotou,内蒙古,Neimenggu
1503,15,乌海市,Wuhai,内蒙古,Neimenggu
1504,15,赤峰市,Chifeng,内蒙古,Neimenggu
1505,15,通辽市,Tongliao,内蒙古,Neimenggu
1521,15,呼伦贝尔盟,Hulunbeier,内蒙古,Neimenggu
1522,15,兴安盟,Xingan,内蒙古,Neimenggu
1525,15,锡林郭勒盟,Xilinguole,内蒙古,Neimenggu
1526,15,乌兰察布盟,Wulanchabu,内蒙古,Neimenggu
1527,15,伊克昭盟,Yikezhao,内蒙古,Neimenggu
1528,15,巴彦淖尔盟,Bayannaoer,内蒙古,Neimenggu
1529,15,阿拉善盟,Alashan,内蒙古,Neimenggu
2101,21,沈阳市,Shenyang,辽宁省,Liaoning
2102,21,大连市,Dalian,辽宁省,Liaoning
2103,21,鞍山市,Anshan,辽宁省,Liaoning
2104,21,抚顺市,Fushun,辽宁省,Liaoning
2105,21,本溪市,Benxi,辽宁省,Liaoning
2106,21,丹东市,Dandong,辽宁省,Liaoning
2107,21,锦州市,Jinzhou,辽宁省,Liaoning
2108,21,营口市,Yingkou,辽宁省,Liaoning
2109,21,阜新市,Fuxin,辽宁省,Liaoning
2110,21,辽阳市,Liaoyang,辽宁省,Liaoning
2111,21,盘锦市,Panjin,辽宁省,Liaoning
2112,21,铁岭市,Tieling,辽宁省,Liaoning
2113,21,朝阳市,Chaoyang,辽宁省,Liaoning
2114,21,葫芦岛市,Huludao,辽宁省,Liaoning
2201,22,长春市,Changchun,吉林省,Jilin
2202,22,吉林市,Jilin,吉林省,Jilin
2203,22,四平市,Siping,吉林省,Jilin
2204,22,辽源市,Liaoyuan,吉林省,Jilin
2205,22,通化市,Tonghua,吉林省,Jilin
2206,22,白山市,Baishan,吉林省,Jilin
2207,22,松原市,Songyuan,吉林省,Jilin
2208,22,白城市,Baicheng,吉林省,Jilin
2224,22,延边朝鲜族自治州,Yanbianchaoxianzu,吉林省,Jilin
2301,23,哈尔滨市,Haerbin,黑龙江省,Heilongjiang
2302,23,齐齐哈尔市,Qiqihaer,黑龙江省,Heilongjiang
2303,23,鸡西市,Jixi,黑龙江省,Heilongjiang
2304,23,鹤岗市,Hegang,黑龙江省,Heilongjiang
2305,23,双鸭山市,Shuangyashan,黑龙江省,Heilongjiang
2306,23,大庆市,Daqing,黑龙江省,Heilongjiang
2307,23,伊春市,Yichun,黑龙江省,Heilongjiang
2308,23,佳木斯市,Jiamusi,黑龙江省,Heilongjiang
2309,23,七台河市,Qitaihe,黑龙江省,Heilongjiang
2310,23,牡丹江市,Mudanjiang,黑龙江省,Heilongjiang
2311,23,黑河市,Heihe,黑龙江省,Heilongjiang
2312,23,绥化市,Suihua,黑龙江省,Heilongjiang
2327,23,大兴安岭地区,Daxinganlingdiqu,黑龙江省,Heilongjiang
3100,31,上海市,Shanghai,上海市,Shanghai
3201,32,南京市,Nanjing,江苏省,Jiangsu
3202,32,无锡市,Wuxi,江苏省,Jiangsu
3203,32,徐州市,Xuzhou,江苏省,Jiangsu
3204,32,常州市,Changzhou,江苏省,Jiangsu
3205,32,苏州市,Suzhou,江苏省,Jiangsu
3206,32,南通市,Nantong,江苏省,Jiangsu
3207,32,连云港市,Lianyungang,江苏省,Jiangsu
3208,32,淮阴市,Huaiyin,江苏省,Jiangsu
3209,32,盐城市,Yancheng,江苏省,Jiangsu
3210,32,扬州市,Yangzhou,江苏省,Jiangsu
3211,32,镇江市,Zhenjiang,江苏省,Jiangsu
3212,32,泰州市,Taizhou,江苏省,Jiangsu
3213,32,宿迁市,Suqian,江苏省,Jiangsu
3301,33,杭州市,Hangzhou,浙江省,Zhejiang
3302,33,宁波市,Ningbo,浙江省,Zhejiang
3303,33,温州市,Wenzhou,浙江省,Zhejiang
3304,33,嘉兴市,Jiaxing,浙江省,Zhejiang
3305,33,湖州市,Huzhou,浙江省,Zhejiang
3306,33,绍兴市,Shaoxing,浙江省,Zhejiang
3307,33,金华市,Jinhua,浙江省,Zhejiang
3308,33,衢州市,Quzhou,浙江省,Zhejiang
3309,33,舟山市,Zhoushan,浙江省,Zhejiang
3310,33,台州市,Taizhou,浙江省,Zhejiang
3311,33,丽水市,Lishui,浙江省,Zhejiang
3401,34,合肥市,Hefei,安徽省,Anhui
3402,34,芜湖市,Wuhu,安徽省,Anhui
3403,34,蚌埠市,Bengbu,安徽省,Anhui
3404,34,淮南市,Huainan,安徽省,Anhui
3405,34,马鞍山市,Maanshan,安徽省,Anhui
3406,34,淮北市,Huaibei,安徽省,Anhui
3407,34,铜陵市,Tongling,安徽省,Anhui
3408,34,安庆市,Anqing,安徽省,Anhui
3410,34,黄山市,Huangshan,安徽省,Anhui
3411,34,滁州市,Chuzhou,安徽省,Anhui
3412,34,阜阳市,Fuyang,安徽省,Anhui
3413,34,宿州市,Suzhou,安徽省,Anhui
3414,34,巢湖市,Chaohu,安徽省,Anhui
3415,34,六安市,Liuan,安徽省,Anhui
3416,34,亳州市,Bozhou,安徽省,Anhui
3417,34,池州市,Chizhou,安徽省,Anhui
3418,34,宣城市,Xuancheng,安徽省,Anhui
3501,35,福州市,Fuzhou,福建省,Fujian
3502,35,厦门市,Xiamen,福建省,Fujian
3503,35,莆田市,Putian,福建省,Fujian
3504,35,三明市,Sanming,福建省,Fujian
3505,35,泉州市,Quanzhou,福建省,Fujian
3506,35,漳州市,Zhangzhou,福建省,Fujian
3507,35,南平市,Nanping,福建省,Fujian
3508,35,龙岩市,Longyan,福建省,Fujian
3509,35,宁德市,Ningde,福建省,Fujian
3601,36,南昌市,Nanchang,江西省,Jiangxi
3602,36,景德镇市,Jingdezhen,江西省,Jiangxi
3603,36,萍乡市,Pingxiang,江西省,Jiangxi
