City_EN,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Lvliangdiqu,Huhehaote,Baotou,Wuhai,Chifeng,Tongliao,Hulunbeier,Xingan,Xilinguole,Wulanchabu,Yikezhao,Bayannaoer,Alashan,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Songyuan,Baicheng,Yanbianchaoxianzu,Haerbin,Qiqihaer,Jixi,Hegang,Shuangyashan,Daqing,Yichun,Jiamusi,Qitaihe,Mudanjiang,Heihe,Suihua,Daxinganlingdiqu,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou,Nantong,Lianyungang,Huaiyin,Yancheng,Yangzhou,Zhenjiang,Taizhou,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou,Chaohu,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,Jian,Yichun,Fuzhou,Shangrao,Jinan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Enshitujiazumiaozu,Hubei (Direct Units),Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Xiangxitujiazumiaozu,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Chaozhou,Jieyang,Yunfu,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin,Nanningdiqu,Liuzhoudiqu,Hezhoudiqu,Baisediqu,Hechidiqu,Haikou,Sanya,Munidiqu,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,Guangan,Dazhou,Yaan,Bazhong,Ziyang,Abacangzuqiangzu,Ganzicangzu,Liangshanyizu,Guiyang,Liupanshui,Zunyi,Anshun,Tongrendiqu,Qianxinanbuyizumiaozu,Bijiediqu,Qiandongnanmiaozudongzu,Qiannanbuyizumiaozu,Kunming,Qujing,Yuxi,Zhaotongdiqu,Chuxiongyizu,Honghehanizuyizu,Wenshanzhuangzumiaozu,Simaodiqu,Xishuangbannadaizu,Dalibaizu,Baoshandiqu,Dehongdaizujingpozu,Lijiangdiqu,Nujianglisuzu,Diqingcangzu,Lincangdiqu,Lasa,Changdudiqu,Shannandiqu,Rikazediqu,Naqudiqu,Alidiqu,Linzhidiqu,Xian,Tongchuan,Baoji,Xianyang,Weinan,Yanan,Hanzhong,Yulin,Ankang,Shangluodiqu,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Jiuquandiqu,Zhangyediqu,Wuweidiqu,Dingxidiqu,Longnandiqu,Pingliangdiqu,Qingyangdiqu,Linxiahuizu,Gannancangzu,Xining,Haidongdiqu,Haibeicangzu,Huangnancangzu,Hainancangzu,Guoluocangzu,Yushucangzu,Haiximengguzucangzu,Yinchuan,Shizuishan,Wuzhong,Guyuandiqu,Wulumuqi,Kelamayi,Tulufandiqu,Hamidiqu,Changjihuizu,Boertalamenggu,Bayinguolengmenggu,Akesudiqu,Kezilesukeerkezi,Kashendiqu,Hetiandiqu,Yilihasake,Tachengdi,Aletaidi,Xinjiang (Direct Units)
Beijing,,7.26,2.84,4.88,3.58,4.18,2.53,14.55,24.81,14.71,3.28,37.28,3.1,0.76,2.63,1.59,1.09,0.58,0.72,0.62,1.73,0.94,1.97,,1.5,1.02,0.45,3.29,1.38,,0.73,2.14,,,,0.71,0.79,1.2,0.49,0.49,0.51,0.8,0.93,0.65,1.2,0.22,0.64,0.38,1.42,1.71,1.2,1.2,0.38,0.32,0.7,0.91,0.48,0.42,1.33,0.91,1.12,1.12,0.46,0.7,0.78,1.89,0.71,0.65,1.32,0.71,0.46,0.63,0.44,0.29,0.12,0.42,0.12,0.21,0.23,0.25,0.23,0.31,0.22,0.1,0.14,0.18,0.24,0.18,,0.09,0.07,,0.15,1.2,0.16,0.14,1.2,0.33,0.41,0.2,0.19,0.26,0.28,0.16,0.59,0.11,0.15,0.55,0.21,,0.16,0.34,0.17,0.07,0.19,0.17,0.26,0.16,0.13,0.05,0.26,0.15,0.17,0.38,0.21,0.11,0.3,0.17,,0.15,0.22,1.89,0.19,0.12,0.79,0.74,0.35,0.56,0.45,0.84,0.74,0.66,0.9,0.81,0.28,,0.46,1.43,1.56,0.62,1.24,0.45,0.38,0.38,0.36,1.07,0.64,0.51,0.52,1.35,0.24,0.31,0.38,0.72,0.68,1.59,1.01,0.82,0.19,0.1,0.3,0.26,0.34,0.08,0.3,1.66,0.25,0.12,0.19,0.27,0.28,,0.25,0.1,0.1,0.11,0.07,0.18,0.21,0.16,0.09,0.09,0.04,0.15,0.13,0.14,0.16,0.07,0.23,0.04,,,,0.05,0.03,0.03,0.07,0.06,,0.07,,,,,,,,0.11,0.07,0.16,0.08,0.18,0.18,0.04,,0.26,,,,,,0.28,0.7,,0.43,0.26,0.06,0.06,0.06,0.05,0.18,0.14,0.07,0.05,0.1,0.11,0.05,0.14,0.05,0.11,,0.37,0.08,0.01,,0.09,0.1,,0.09,0.05,,0.04,,0.08,,0.16,0.06,0.05,,,0.06,,,0.1,0.1,,,,,0.03,,0.17,,,,,,,0.34,0.11,0.18,0.15,0.23,0.17,0.3,0.26,0.35,,0.21,0.16,0.15,0.13,0.74,,,,,,,,0.11,0.28,0.26,,,,,,1.2,0.13,0.31,0.06,0.09,,0.35,0.13,,,0.08,0.02,0.18,0.11,0.07,0.04,,0.04,0.04,0.08,
Tianjin,5.71,,2.45,26.72,6.12,6.25,1.97,4.89,4.05,6.09,17.23,16.48,4.66,0.65,1.55,0.95,0.61,0.23,0.58,0.55,0.67,0.68,0.58,,0.85,1.08,0.31,2.41,1.25,,0.32,0.93,,,,0.5,0.67,1.35,0.66,0.72,0.52,0.61,1.03,0.67,1.28,0.42,0.65,0.43,1.11,2.76,0.86,0.86,0.46,0.76,1.12,0.7,0.34,0.69,0.69,0.79,1.32,0.7,0.5,0.31,0.61,0.56,0.4,0.78,0.79,0.56,0.52,0.5,0.29,0.16,0.19,0.45,0.17,0.18,0.3,0.35,0.19,0.38,0.22,0.12,0.12,0.27,0.16,0.15,,,,0.1,,0.86,0.27,0.12,0.86,0.19,0.19,0.17,0.13,0.06,0.15,0.1,0.27,0.07,0.15,0.64,0.18,,0.13,0.28,0.17,0.06,0.16,0.1,0.14,0.06,,,,0.07,0.1,0.12,0.11,,0.15,,0.11,,,0.56,0.16,0.06,0.94,0.89,0.61,0.31,1.24,1.07,0.93,0.74,0.94,0.82,0.36,,0.52,5.22,1.49,3.12,1.1,0.21,0.26,0.27,0.22,1.01,0.82,0.51,0.24,1.4,0.22,0.21,0.29,0.33,0.48,0.46,0.5,0.58,0.1,,0.14,0.12,0.19,,,0.12,0.07,0.15,0.11,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.28,,,,,,0.07,0.19,,0.21,0.14,0.04,,,0.04,0.05,0.09,,0.04,0.05,0.03,0.04,0.03,,0.07,,0.13,0.03,0.04,,,,,,,,,,,,,,0.04,,0.06,,,,0.15,,,0.08,,,,,0.05,,,,,,,0.17,0.06,0.14,0.08,0.1,0.08,0.15,0.28,0.13,,0.18,0.04,0.07,0.07,0.11,,,,,,,,0.1,,0.12,,,0.04,0.16,,0.86,,0.12,0.47,0.04,,0.19,0.05,,,0.05,0.05,0.06,,,,0.1,,0.01,,
Shijiazhuang,1.58,2.18,,3.45,2.8,11.05,30.18,17.63,6.26,4.6,6.11,2.35,19.57,1.45,1.52,14.15,0.76,0.51,0.9,2.05,0.59,5.06,0.7,,0.68,0.45,0.32,0.49,0.15,,0.26,0.63,,,,0.89,0.22,0.23,0.22,0.1,0.16,0.08,0.2,0.24,0.11,0.06,0.14,0.08,0.27,0.33,0.64,0.64,0.17,0.22,0.11,0.18,0.1,0.09,0.06,0.22,0.08,,0.19,0.12,0.1,0.12,0.08,,0.09,0.17,0.13,,0.13,0.1,0.1,0.27,0.07,0.09,0.2,0.23,0.18,0.19,0.19,0.08,0.12,0.22,0.11,,,0.09,0.09,0.09,,0.64,,0.12,0.64,0.14,0.07,0.1,0.07,0.06,0.04,0.04,0.21,0.04,0.08,0.25,0.09,,0.1,0.11,0.08,0.04,0.09,0.07,0.12,0.07,0.1,,,0.05,,0.15,0.21,,,,,,0.09,0.12,0.09,,0.65,0.51,0.78,0.43,0.63,0.67,0.69,0.56,0.62,0.5,0.51,,0.47,1.68,1.19,0.96,0.5,0.35,0.24,0.34,0.23,0.81,0.61,0.64,0.47,0.8,0.25,0.24,0.22,0.38,0.27,0.25,0.28,0.49,0.12,,0.19,0.16,0.16,,0.11,0.1,0.07,,,0.17,0.12,,0.1,,0.04,,,0.07,,,0.06,,,,0.04,,0.07,,,,,,,0.04,,,,0.04,0.03,,,,,,,0.07,0.04,0.08,0.06,0.09,,0.17,0.06,,0.01,2.31,,,,,,0.05,0.13,,0.18,0.09,,,0.03,,,0.05,0.03,0.02,0.03,0.09,0.01,,0.05,0.08,,0.06,,0.01,,0.06,0.05,,,,,0.05,,,,0.12,,0.03,,,,,,0.06,0.03,,0.06,,,,,0.08,,,,,,,0.16,0.07,0.1,0.08,0.11,0.17,0.19,2.31,0.34,,0.15,0.16,0.23,0.15,0.12,,,,,,,,0.04,,0.16,,,,0.04,,0.64,0.22,0.22,0.15,0.08,,0.16,0.05,,,,,0.27,0.06,,0.06,0.1,0.16,0.01,0.05,
Tangshan,1.86,13.38,2.03,,32.99,1.14,0.82,2.12,2.96,19.42,3.06,2.55,1.52,0.19,1.07,0.48,0.22,0.12,0.34,0.23,0.13,0.4,0.18,,0.26,0.29,0.31,2.7,0.59,,0.18,0.66,,,,0.71,0.41,0.78,0.52,0.44,0.21,0.65,0.87,0.47,0.52,0.43,0.4,0.33,2.73,2.34,0.41,0.41,0.32,1.04,0.31,0.24,0.26,0.22,0.22,0.2,0.24,0.28,0.15,0.07,0.24,0.28,0.14,0.19,0.24,0.14,0.21,0.12,,,,0.09,0.08,,0.07,0.18,0.06,0.14,0.06,0.04,0.09,0.07,,,,,0.08,,,0.41,0.3,0.09,0.41,,0.06,,0.04,0.08,0.04,0.04,,,,0.13,,,,,,,,,,,,,,,,,,0.1,,,,,,0.28,,,0.27,0.31,0.2,0.12,0.58,0.44,0.38,0.19,0.25,0.7,0.16,,0.24,0.51,0.31,0.6,0.11,0.09,0.09,,,0.22,0.1,0.19,0.07,0.24,0.08,,,0.12,,,0.08,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,0.08,,,,,,,,,0.04,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,0.03,,,,,,,,0.78,,,,0.05,,0.05,0.06,0.19,0.13,0.14,,,0.04,,0.03,,,,,,,,,,,,,0.04,,,,0.41,0.15,0.07,0.23,0.03,,,,,,0.02,0.02,0.15,0.04,,0.06,,,0.02,,
Qinhuangdao,0.56,1.42,0.79,14.04,,0.18,0.18,0.59,0.64,3.79,0.77,0.71,0.29,0.05,0.23,0.15,0.08,0.07,0.09,,,0.03,,,0.09,0.05,0.09,0.35,0.15,,0.15,0.13,,,,0.06,0.33,0.47,0.22,0.2,0.16,0.27,0.92,0.25,0.49,0.19,0.4,0.19,1.58,14.31,,,0.17,0.22,0.17,0.09,0.14,0.11,0.2,0.32,0.28,0.42,0.31,0.17,0.16,0.52,0.17,,0.41,0.29,0.22,2.03,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,0.08,,,0.04,0.06,0.17,0.09,,0.06,0.31,,,0.06,0.12,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,0.05,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.06,,,,0.04,0.03,,,,,,,,,,,,,,,,,
Handan,2.68,4.09,8.23,1.37,0.62,,21.96,2.52,0.96,0.62,1.5,1.46,2.14,0.65,0.59,1.38,5.83,1.36,0.39,1.96,0.53,0.85,1.19,,0.35,0.15,0.05,0.2,0.05,,0.05,0.24,,,,0.1,0.14,0.23,0.07,0.04,0.21,0.13,0.03,0.09,0.14,0.05,0.09,0.06,0.28,0.19,0.4,0.4,0.03,0.08,0.02,,0.04,0.07,0.11,0.07,0.04,0.07,,0.04,0.08,0.08,,0.06,,0.07,0.06,,0.12,0.1,0.15,0.42,0.12,0.08,0.08,0.33,0.1,0.1,0.33,0.08,0.11,0.14,,,,0.07,0.12,,,0.4,,0.11,0.4,0.13,0.21,0.06,0.04,0.07,0.16,,,0.11,,0.13,0.08,,0.42,0.16,0.06,0.11,,,,,,,0.06,,,0.16,,,,,0.09,,,0.08,,,0.74,0.82,0.45,0.3,0.5,0.78,0.69,0.78,0.82,0.43,1.23,,0.47,0.75,7.94,0.79,0.97,0.51,0.29,0.43,0.2,11.44,2.1,1.21,0.43,6.59,0.4,0.21,0.4,0.39,0.29,0.19,0.22,0.22,0.19,0.09,0.16,0.1,0.19,,0.08,0.23,0.07,0.11,0.14,,0.08,,0.1,0.06,0.05,,,0.08,0.11,0.05,0.03,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.11,0.16,,,0.72,,,,,,,,,,,,0.09,,0.03,0.06,0.07,,0.04,0.05,,0.02,,,0.07,0.03,0.05,0.03,,,0.03,0.06,0.05,,,,,,,,0.07,,0.02,,0.03,,,,0.05,0.05,,,,,,,,,,,,,,0.17,0.04,0.17,0.1,0.19,0.21,0.27,0.72,0.21,,0.12,0.07,,0.09,0.19,,,,,,,,,0.02,0.11,,0.04,0.04,,,0.4,0.19,0.14,0.18,0.09,,,0.03,,,0.02,0.05,0.05,0.05,,,0.06,0.04,,,
Xingtai,1.49,1.37,20.55,1.18,0.54,18.4,,2.23,0.91,0.54,1.64,0.99,8.8,0.55,0.57,1.73,1.12,0.4,0.3,2.15,0.26,0.65,0.35,,0.28,0.17,0.09,0.1,0.06,,,0.23,,,,0.06,0.1,,0.08,0.05,0.03,,0.05,0.04,0.18,0.03,,0.05,0.22,0.14,0.39,0.39,0.05,0.06,0.05,0.03,0.04,0.06,0.11,0.07,,0.03,,0.07,,,0.03,0.06,0.09,0.04,0.05,,,,0.1,0.17,0.09,0.04,0.1,0.1,0.05,0.11,0.08,0.11,0.06,0.14,,,,0.07,,,,0.39,,0.06,0.39,0.11,0.07,0.08,0.07,,0.12,0.12,,0.05,0.07,0.11,0.04,,,0.06,,,,,,,,,,,,,0.12,,,,,,,,,,0.58,0.4,0.46,0.18,0.3,0.38,0.48,0.4,0.57,0.17,0.18,,0.39,1.85,8.56,0.57,0.39,0.2,0.14,0.26,0.06,0.67,0.4,0.4,0.26,0.55,0.14,0.12,0.19,0.19,0.16,0.1,0.1,0.24,0.13,,0.14,,,,,,0.08,,0.11,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.12,0.06,0.02,,0.78,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.03,,,,,,,,,,,0.04,,,,,,0.08,,0.03,,,,,,,,,,0.08,0.03,,0.24,0.09,,0.11,0.78,0.15,,0.1,0.02,,0.04,0.08,,,,,,,,0.05,0.02,0.07,,,,0.06,0.2,0.39,0.13,0.11,0.08,0.06,,,,,,0.07,,0.12,,0.07,,,0.09,0.02,0.05,
Baoding,9.33,3.33,15.47,2.68,2.12,2.59,2.75,,7.13,2.91,11.07,8.59,9.78,0.65,4.5,2.27,0.41,0.29,2.85,0.67,0.31,4.71,0.36,,0.83,0.73,0.21,1.28,0.39,,0.25,1.28,,,,0.59,0.22,0.33,0.29,0.16,0.2,0.1,0.25,0.23,0.19,0.09,0.15,0.1,0.31,0.44,0.56,0.56,0.06,0.08,0.11,0.36,0.1,0.11,0.33,0.17,0.2,0.17,0.11,0.09,0.1,0.24,0.09,,0.07,0.07,0.14,0.25,,0.08,,0.18,0.09,0.07,0.1,0.12,0.12,0.12,0.1,,,0.2,,,,0.1,,,,0.56,,,0.56,0.07,0.07,0.07,0.1,,0.04,,0.09,0.06,0.05,0.18,0.07,,0.06,0.11,,,,,,,,,,,,0.09,,,,,,,,0.24,,0.06,0.45,0.39,0.24,0.18,0.75,0.53,0.59,0.3,0.29,0.42,0.23,,0.3,0.91,0.58,1.22,0.4,0.15,0.16,0.3,0.07,0.45,0.44,0.25,0.28,0.46,0.28,0.15,0.25,0.28,0.28,0.19,0.21,0.18,0.09,0.06,,0.09,0.09,,0.1,0.19,,0.12,,,,,,,0.05,,,,,0.05,,,,,0.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.65,,,,,,,0.1,,,,,,,,,0.05,0.03,,0.05,0.03,,,,,0.07,,0.02,0.04,,0.03,,,,,,0.04,,,,0.05,,,,0.02,,0.06,,,,,,,0.03,,,0.04,,,,,,,0.15,0.04,0.12,0.04,0.12,0.11,0.23,0.65,0.21,,0.12,0.02,0.07,,,,,,,,,,,,0.11,,0.17,0.04,0.04,,0.56,,0.11,0.08,0.09,,0.12,0.03,,,0.02,0.15,0.12,0.13,,0.12,0.03,0.08,0.02,,
Zhangjiakou,3.37,0.87,1.65,1.92,0.88,0.34,0.39,2.52,,3.99,0.69,1.06,0.32,0.17,8.71,0.08,0.06,0.09,1.53,0.1,,0.33,0.08,,1.16,1.04,0.09,0.58,0.11,,0.14,14.58,,,,0.21,0.05,,0.07,,,0.03,0.03,0.06,0.15,0.08,0.08,0.05,0.28,0.14,,,0.04,0.12,0.07,0.06,,,,,0.04,0.07,0.03,0.09,,,0.06,,,0.02,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.06,0.04,0.08,0.09,,0.1,0.05,,,,0.06,0.12,0.14,0.1,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.39,0.02,,,,,,,,,,,0.04,0.13,,,,
Chengde,3.14,1.03,0.87,5.97,3.38,0.15,0.21,0.82,3.07,,0.41,1.22,0.18,,0.14,0.19,0.07,0.06,0.06,0.04,,0.09,,,0.18,0.13,0.04,6.92,0.21,,0.05,6.7,,,,,0.1,0.09,0.1,0.17,0.05,0.06,0.14,0.14,0.15,0.05,0.11,0.02,4.9,0.37,,,0.03,0.04,0.08,,0.03,0.1,0.08,,,,0.03,,,0.08,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.06,,0.05,,0.06,,,,,,,,,0.07,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
