City_EN,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Lvliangdiqu,Huhehaote,Baotou,Wuhai,Chifeng,Tongliao,Hulunbeier,Xingan,Xilinguole,Wulanchabu,Yikezhao,Bayannaoer,Alashan,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Songyuan,Baicheng,Yanbianchaoxianzu,Haerbin,Qiqihaer,Jixi,Hegang,Shuangyashan,Daqing,Yichun,Jiamusi,Qitaihe,Mudanjiang,Heihe,Suihua,Daxinganlingdiqu,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou,Nantong,Lianyungang,Huaiyin,Yancheng,Yangzhou,Zhenjiang,Taizhou,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou,Chaohu,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,Jian,Yichun,Fuzhou,Shangrao,Jinan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Enshitujiazumiaozu,Hubei (Direct Units),Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Xiangxitujiazumiaozu,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Chaozhou,Jieyang,Yunfu,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin,Nanningdiqu,Liuzhoudiqu,Hezhoudiqu,Baisediqu,Hechidiqu,Haikou,Sanya,Munidiqu,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,Guangan,Dazhou,Yaan,Bazhong,Ziyang,Abacangzuqiangzu,Ganzicangzu,Liangshanyizu,Guiyang,Liupanshui,Zunyi,Anshun,Tongrendiqu,Qianxinanbuyizumiaozu,Bijiediqu,Qiandongnanmiaozudongzu,Qiannanbuyizumiaozu,Kunming,Qujing,Yuxi,Zhaotongdiqu,Chuxiongyizu,Honghehanizuyizu,Wenshanzhuangzumiaozu,Simaodiqu,Xishuangbannadaizu,Dalibaizu,Baoshandiqu,Dehongdaizujingpozu,Lijiangdiqu,Nujianglisuzu,Diqingcangzu,Lincangdiqu,Lasa,Changdudiqu,Shannandiqu,Rikazediqu,Naqudiqu,Alidiqu,Linzhidiqu,Xian,Tongchuan,Baoji,Xianyang,Weinan,Yanan,Hanzhong,Yulin,Ankang,Shangluodiqu,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Jiuquandiqu,Zhangyediqu,Wuweidiqu,Dingxidiqu,Longnandiqu,Pingliangdiqu,Qingyangdiqu,Linxiahuizu,Gannancangzu,Xining,Haidongdiqu,Haibeicangzu,Huangnancangzu,Hainancangzu,Guoluocangzu,Yushucangzu,Haiximengguzucangzu,Yinchuan,Shizuishan,Wuzhong,Guyuandiqu,Wulumuqi,Kelamayi,Tulufandiqu,Hamidiqu,Changjihuizu,Boertalamenggu,Bayinguolengmenggu,Akesudiqu,Kezilesukeerkezi,Kashendiqu,Hetiandiqu,Yilihasake,Tachengdi,Aletaidi,Xinjiang (Direct Units),Jiyuan,Xiantao,Qianjiang,Tianmen,Shennongjia,Wuzhishan,Qionghai,Danzhou,Wenchang,Wanning
Beijing,,6.31,2.2,4.5,3.37,3.31,1.8,13.13,14.72,13.43,2.72,35.75,2.39,0.68,2.07,0.94,0.66,0.41,0.6,0.38,1.33,0.66,1.39,,1.31,0.87,0.29,2.78,1.04,,0.47,1.67,,,,0.33,0.76,1.04,0.52,0.42,0.5,0.58,0.71,0.48,0.71,0.23,0.52,0.44,1.2,1.18,0.56,1.04,0.36,0.44,0.72,0.92,0.5,0.57,0.28,1.12,1.06,1.2,0.57,0.75,0.98,0.13,1.04,0.94,1.69,0.76,0.62,1.17,0.37,0.31,0.12,0.33,0.15,0.24,0.21,0.24,0.18,0.28,0.26,0.14,0.2,0.15,0.25,0.17,0.14,0.08,0.07,0.09,,0.11,0.15,0.2,0.18,0.29,0.41,0.24,0.11,0.24,0.16,0.17,0.46,0.08,0.17,0.42,0.24,,0.14,0.31,0.13,0.1,0.2,0.17,0.17,0.08,0.11,0.1,0.14,0.08,0.11,0.33,0.21,0.16,0.2,0.13,,0.09,0.19,0.13,0.2,0.11,0.67,0.64,0.42,0.36,0.49,0.65,0.56,0.55,0.77,0.93,0.28,,0.39,1.23,1.16,0.52,0.91,1.17,0.3,0.48,0.31,0.9,0.39,0.45,0.29,1.01,0.29,0.21,0.32,0.72,0.47,1.31,0.76,0.76,0.13,0.09,0.2,0.18,0.17,0.03,,0.49,0.16,0.06,,0.25,0.17,,0.15,0.06,0.09,0.1,0.11,0.19,0.08,0.05,0.1,0.08,0.11,0.12,0.14,0.1,0.11,0.04,0.15,0.14,0.04,0.04,,0.13,,0.03,,0.04,,,0.15,,,,,,,0.08,,0.1,,0.11,,,0.04,0.24,,,,,,0.2,0.53,,0.37,0.27,0.1,0.06,0.04,0.04,0.14,0.28,0.17,0.03,0.08,0.09,0.03,0.06,0.13,0.22,0.04,0.36,0.01,0.01,0.04,0.11,0.14,0.05,0.1,,,,,0.07,0.05,0.15,,0.06,,0.02,0.04,,,0.21,0.1,,0.03,,0.06,,,0.16,,,,,,,0.3,0.05,0.23,0.08,0.28,0.08,0.29,0.24,0.19,,0.26,0.11,0.33,0.17,0.25,,,,,,,,0.03,0.05,0.18,,,,0.23,,0.14,,0.29,0.14,0.1,,0.27,0.27,,,0.09,,0.12,0.2,,0.06,0.1,0.11,,,,0.09,0.12,0.09,0.04,0.12,0.15,0.3,,0.12,0.34
Tianjin,5.83,,2.34,27.35,5.88,6.36,2.13,5.02,4.36,5.47,15.93,17.37,3.43,0.46,1.28,0.96,0.64,0.28,0.64,0.28,0.43,0.66,0.6,,0.99,0.98,0.28,2.16,0.93,,0.75,0.84,,,,0.36,0.69,1.41,0.65,0.61,0.52,0.56,1.13,0.53,1.0,0.33,0.74,0.47,0.92,2.33,0.63,0.91,0.44,0.64,1.23,0.59,0.47,0.57,0.55,0.96,1.68,0.99,0.84,0.94,0.79,1.03,0.59,0.34,0.86,0.63,0.56,1.04,0.23,0.19,0.19,0.34,0.22,0.2,0.31,0.46,0.19,0.32,0.24,0.09,0.18,0.22,0.15,0.16,,0.13,,0.14,,,0.27,0.18,0.07,0.19,0.16,0.14,0.1,0.07,0.11,0.04,0.36,0.08,0.11,0.53,0.2,,0.09,0.23,,,0.11,0.08,,0.09,,,0.07,0.08,,0.12,,,,,0.06,,,1.03,0.11,0.1,0.94,0.84,0.83,0.45,1.52,1.01,1.03,0.62,0.9,0.81,0.4,,0.56,4.38,1.31,2.76,0.95,0.87,0.29,0.3,0.17,0.86,0.57,0.44,0.19,1.05,0.18,0.16,0.28,0.44,0.55,0.29,0.36,0.43,0.07,0.04,0.12,,0.15,0.04,0.08,0.07,0.07,0.12,,0.09,0.15,,0.08,0.04,0.05,,,,,,,,0.05,,0.05,,,,,,,,,,,,,0.04,,,0.05,,,,,,0.04,0.03,,,,,0.05,,0.03,0.23,,,,,,0.13,0.23,,0.22,0.12,0.03,,,0.07,0.05,0.05,,0.08,0.05,,0.03,0.11,0.04,,0.04,0.1,0.02,0.01,,0.02,0.09,0.03,,,,,,,,0.06,,,,0.11,,,,,,,,,0.09,,,,,,,,,,0.19,0.05,0.16,0.09,0.17,0.12,0.1,0.23,0.2,,0.15,0.11,0.16,0.26,0.19,,,,,,,,0.03,0.07,0.09,,,0.04,0.15,,,0.07,0.19,0.17,0.03,,0.14,0.03,,,0.05,,0.13,,0.08,0.05,0.14,,,0.08,,0.29,,0.04,,,,0.11,,0.04,
Shijiazhuang,1.73,2.05,,4.1,3.78,11.25,29.61,19.51,7.99,4.97,7.23,2.21,20.05,1.33,1.56,12.42,0.75,0.55,0.91,1.98,0.63,4.41,0.75,,0.65,0.47,0.2,0.62,0.18,,0.16,0.84,,,,0.47,0.23,0.23,0.23,0.29,0.15,0.25,0.22,0.32,0.11,0.13,0.22,0.19,0.41,0.45,0.17,0.2,0.18,0.09,0.17,0.06,0.1,0.09,0.16,0.28,0.13,,,0.25,0.09,0.45,0.04,0.34,0.25,0.13,0.1,0.13,0.14,0.13,0.08,0.26,0.11,0.11,0.19,0.13,0.13,0.2,0.3,0.09,0.12,0.2,0.12,,,0.1,0.09,0.09,,,0.07,0.12,,0.13,0.07,0.18,0.11,,0.11,,0.16,0.03,0.13,0.17,0.11,,0.06,0.14,,0.04,0.12,0.07,,0.1,0.09,,,0.08,,0.14,0.15,0.08,,,0.06,,,0.45,0.12,,0.64,0.64,0.73,0.41,0.64,0.74,0.8,0.36,0.64,0.6,0.6,,0.61,1.92,1.36,1.11,0.46,0.62,0.19,0.26,0.15,0.85,0.41,0.67,0.3,0.59,0.24,0.18,0.17,0.36,0.28,0.18,0.28,0.38,0.08,,,0.08,0.14,0.02,0.14,,,,0.07,,0.07,,0.09,0.05,0.04,,,0.08,0.12,0.08,,,,,,,,0.05,,,,,,,,,,0.07,,,,0.04,,,,,,0.07,,0.09,,0.15,0.09,,,2.74,,,,,,0.06,0.13,,0.23,0.1,0.04,,,0.03,0.04,0.1,0.04,0.03,0.07,0.07,0.03,0.05,0.07,0.06,0.03,,0.03,,,,0.07,,0.06,,,,,,,0.11,,0.05,,,0.03,,,,0.06,,0.05,,,0.07,,0.06,,,,,,,0.16,0.1,0.11,0.07,0.24,0.32,0.12,2.74,0.21,,0.14,0.09,0.08,0.1,0.06,,,,,,,,0.04,,0.12,,0.03,0.04,,,0.07,0.42,0.26,0.12,0.14,,0.09,0.05,,,0.05,0.02,0.21,0.13,,0.08,,,0.07,0.02,,0.33,,,0.06,,,,,,0.19
Tangshan,1.83,12.85,1.64,,32.87,1.04,0.72,1.95,3.06,19.78,2.64,2.56,1.05,0.19,1.23,0.5,0.17,0.24,0.35,0.2,0.12,0.48,0.21,,0.21,0.28,0.34,2.59,0.68,,0.16,0.62,,,,0.77,0.4,0.5,0.65,0.56,0.25,0.29,0.82,0.76,0.66,0.54,0.6,0.26,2.73,2.57,0.22,0.34,0.32,1.34,0.37,0.33,0.26,0.19,0.24,0.29,0.36,0.29,,0.25,0.28,0.76,0.14,,0.14,0.34,0.26,0.52,,,0.08,0.12,0.12,,0.12,0.28,0.08,0.11,0.1,0.07,0.12,0.07,,,,,0.09,,,,0.29,0.12,,,,,,,0.07,,,,,0.08,,,,0.07,,,,,,,,,,0.06,,,,,,,,,,0.76,,,0.21,0.28,0.32,0.1,0.49,0.43,0.33,0.2,0.33,0.45,0.24,,0.21,0.4,0.34,0.65,0.16,0.36,,,,0.15,0.09,0.2,0.1,0.18,0.05,,,,,,0.09,,,,0.08,,,,,0.05,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.19,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.05,,,,,,,,,,,,,,,,,,,0.05,0.09,0.15,0.19,,,,0.04,,,,,,,,,,,,,,,,,0.02,,,0.14,,0.18,0.02,,,,,,,0.02,,0.11,,,,0.04,0.03,,,,,,,,,,,0.15,0.06
Qinhuangdao,0.55,1.45,0.65,13.92,,0.15,0.24,0.49,0.64,4.7,0.66,0.81,0.25,0.04,0.28,,,,0.1,0.03,,0.11,,,0.11,0.09,0.09,0.62,0.34,,0.19,,,,,0.13,0.34,0.36,0.32,0.17,0.13,0.23,0.7,0.31,0.3,0.13,0.41,0.22,1.11,15.26,0.18,0.27,0.21,0.24,0.22,0.26,0.12,0.2,0.26,0.38,0.47,0.16,0.21,0.12,0.15,0.4,0.16,0.08,0.45,0.42,0.21,1.82,,,,,,,,,,,,,,0.04,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.07,0.11,0.06,,0.07,0.21,0.13,,0.06,0.12,0.04,,0.06,0.09,0.06,0.09,,,,,,0.09,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.07,,,,,,,0.02,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,
Handan,2.68,4.24,8.62,1.51,0.65,,23.67,2.46,1.27,0.9,1.48,1.67,1.98,0.67,0.56,1.79,6.43,1.79,0.44,1.82,0.67,0.81,1.71,,0.34,0.18,0.15,0.2,0.03,,0.11,0.2,,,,0.18,0.09,0.27,0.09,0.09,0.15,,0.12,0.13,0.05,0.07,0.17,0.04,0.24,0.22,0.07,0.12,,0.12,0.14,,0.03,0.09,,0.13,0.08,0.16,0.05,0.03,0.05,0.09,0.09,0.25,,,,,,0.11,0.1,0.3,0.08,0.11,0.12,0.22,0.07,0.18,0.37,0.1,0.1,0.16,,,,,0.14,,,,0.09,0.1,,0.15,0.46,0.1,0.04,,0.15,0.08,0.18,,0.09,0.12,0.11,,0.63,0.13,0.07,,,,,0.07,,,0.06,0.05,,0.09,0.07,,,,,,,0.09,,,0.65,0.7,0.55,0.32,0.29,0.61,0.75,0.67,0.91,0.49,0.94,,0.53,0.74,8.06,0.63,0.84,0.37,0.33,0.49,0.24,12.29,1.55,1.27,0.54,6.77,0.31,0.23,0.23,0.27,0.38,0.31,0.22,0.27,0.12,0.07,0.08,0.09,0.18,,0.08,0.09,0.09,,0.07,0.11,,,0.06,,,,,,0.13,,0.05,,,0.07,,0.04,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.04,0.1,0.11,,,0.54,,,,,,0.05,0.09,,,,,,,,0.05,0.11,,,,,0.03,0.07,,0.06,,,,0.01,,0.04,,,,,,,,0.05,,,0.04,0.05,,0.11,,,,,0.04,,0.12,,,,,0.05,,,,,,,0.14,0.08,0.13,0.12,0.25,0.2,0.19,0.54,0.12,,,0.04,,0.09,0.06,,,,,,,,,0.02,0.12,,0.03,,,0.07,,0.11,0.12,0.2,0.05,,,,,,0.08,,0.21,,,0.06,0.1,0.11,0.02,0.02,,0.74,,,0.06,,0.31,,,0.21,0.06
Xingtai,1.39,1.37,20.24,1.14,0.59,20.34,,2.36,0.87,0.58,1.74,1.02,8.96,0.49,0.55,1.48,1.16,0.49,0.2,2.09,0.19,0.74,0.62,,0.27,0.2,,0.2,0.05,,0.04,0.27,,,,0.06,0.07,0.1,0.14,0.07,0.19,0.05,0.06,0.07,0.1,,0.08,0.07,0.12,0.28,0.05,0.1,0.02,,,0.16,0.08,0.03,,,,0.04,0.1,0.03,,0.09,0.08,,,,0.03,,,0.08,0.07,0.24,0.07,0.04,,0.15,0.08,0.11,0.27,0.09,0.09,0.16,,,,,0.12,,,0.08,0.09,0.09,,0.07,0.08,0.05,0.05,0.06,0.07,,,,0.11,0.08,0.04,,0.06,0.16,0.07,0.08,,,,,,,,0.07,,,,,,,,,,0.09,,,0.57,0.39,0.34,0.2,0.29,0.32,0.42,0.4,0.47,0.24,0.32,,0.43,1.75,8.61,0.57,0.43,0.37,0.08,0.13,0.11,0.63,0.53,0.41,0.23,0.65,0.18,0.16,,0.22,0.14,0.14,0.09,0.1,0.09,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.05,,,0.11,0.03,,,0.81,,,,,,,,,,,,,,0.02,,,,,,,,0.03,,0.08,,,0.04,,,,,,,,,,,,,,0.05,,,0.02,0.04,,,,0.04,,,,0.06,,,0.06,,,,,,,0.08,,0.12,0.07,0.04,0.08,0.16,0.81,0.18,,0.07,0.07,0.12,0.04,0.12,,,,,,,,0.03,0.05,0.07,,0.03,,0.06,,0.07,0.12,0.07,,0.04,,,,,,0.06,,,0.11,,0.1,0.1,0.04,0.02,,,,,,0.02,,,,,0.04,
Baoding,9.51,3.69,16.59,2.84,1.92,2.4,3.1,,7.86,3.13,12.03,9.3,10.9,0.56,3.8,1.65,0.37,0.27,2.67,0.7,0.35,4.01,0.41,,0.71,0.66,0.14,1.07,0.3,,0.16,0.88,,,,0.66,0.22,0.24,0.3,0.25,0.23,0.2,0.42,0.13,0.29,0.1,0.16,0.13,0.5,0.7,0.15,0.2,0.09,0.14,0.16,0.09,0.17,0.17,0.04,0.16,0.26,0.12,0.05,0.06,0.24,0.18,0.19,0.08,0.34,0.13,0.13,0.13,,,0.08,0.18,0.06,0.07,0.12,0.17,0.06,0.07,0.11,0.09,0.05,0.1,,,,0.07,,,0.14,,,0.05,,0.07,0.08,0.06,0.14,0.06,0.04,0.1,,,,0.19,0.07,,,0.25,0.07,,,,,,,,,0.05,,,,,,,,,,0.18,,,0.35,0.33,0.33,0.2,0.59,0.47,0.6,0.28,0.38,0.37,0.22,,0.34,0.83,0.45,1.23,0.44,0.5,0.2,0.25,0.06,0.41,0.35,0.36,0.23,0.46,0.33,0.08,0.26,0.26,0.29,0.2,0.17,0.22,0.06,,0.09,0.13,0.12,,0.07,0.06,,0.05,0.08,0.1,,,,,,,,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.75,,,,,,,0.1,,,0.05,0.03,0.05,0.04,0.02,0.05,0.05,,,,,,0.07,,0.06,0.02,0.09,0.03,,,,,,,,,,,,,,,,,0.04,,,,,0.04,,0.06,,,,,0.06,,,,,,,0.12,0.06,0.06,0.06,0.12,0.13,0.15,0.75,0.18,,0.09,,,0.13,,,,,,,,,,0.05,0.07,,,0.04,,,,0.07,0.08,0.17,0.08,,0.12,0.03,,,0.02,0.02,0.11,0.11,,0.11,0.07,0.09,0.02,,,0.22,,0.04,,,,0.05,,0.02,0.06
Zhangjiakou,3.57,0.99,1.69,1.58,1.03,0.32,0.29,2.26,,4.1,0.92,1.31,0.35,0.17,8.27,0.15,0.08,0.1,1.47,0.11,0.1,0.32,0.1,,1.27,1.14,0.25,1.0,0.17,,0.24,12.55,,,,0.21,0.05,,0.05,0.12,,0.05,0.14,0.08,0.61,0.07,0.03,0.05,0.32,0.26,0.04,0.05,0.05,0.02,0.06,,0.02,0.12,,,0.08,,,,,,0.03,0.08,0.11,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.11,0.05,0.2,0.14,0.12,0.06,,0.14,0.04,,,0.07,0.11,0.15,,,,,,,0.06,0.06,,0.06,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,0.04,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,0.16,,,,,,0.06,,,,,,,,,,,,,,,0.02,0.07,,,,0.44,0.02,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,
Chengde,2.78,1.0,0.89,6.4,3.29,0.17,0.21,0.82,3.37,,0.5,1.06,0.16,,0.15,0.07,0.05,0.09,0.04,,0.08,0.06,,,0.12,0.08,0.02,7.69,0.26,,0.04,5.6,,,,0.04,0.11,0.1,0.12,0.14,0.09,0.14,0.13,0.17,0.13,0.05,0.06,0.08,6.07,0.41,0.06,0.08,0.03,,0.17,0.03,0.03,0.03,0.04,0.07,,0.2,,0.22,,,,,0.11,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.06,,0.1,,0.07,,,,0.04,,,0.05,0.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
