City_EN,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Lvliangdiqu,Huhehaote,Baotou,Wuhai,Chifeng,Tongliao,Hulunbeier,Xingan,Xilinguole,Wulanchabu,Yikezhao,Bayannaoer,Alashan,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Songyuan,Baicheng,Yanbianchaoxianzu,Haerbin,Qiqihaer,Jixi,Hegang,Shuangyashan,Daqing,Yichun,Jiamusi,Qitaihe,Mudanjiang,Heihe,Suihua,Daxinganlingdiqu,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou,Nantong,Lianyungang,Huaiyin,Yancheng,Yangzhou,Zhenjiang,Taizhou,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou,Chaohu,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,Jian,Yichun,Fuzhou,Shangrao,Jinan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Enshitujiazumiaozu,Hubei (Direct Units),Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Xiangxitujiazumiaozu,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Chaozhou,Jieyang,Yunfu,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin,Nanningdiqu,Liuzhoudiqu,Hezhoudiqu,Baisediqu,Hechidiqu,Haikou,Sanya,Munidiqu,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,Guangan,Dazhou,Yaan,Bazhong,Ziyang,Abacangzuqiangzu,Ganzicangzu,Liangshanyizu,Guiyang,Liupanshui,Zunyi,Anshun,Tongrendiqu,Qianxinanbuyizumiaozu,Bijiediqu,Qiandongnanmiaozudongzu,Qiannanbuyizumiaozu,Kunming,Qujing,Yuxi,Zhaotongdiqu,Chuxiongyizu,Honghehanizuyizu,Wenshanzhuangzumiaozu,Simaodiqu,Xishuangbannadaizu,Dalibaizu,Baoshandiqu,Dehongdaizujingpozu,Lijiangdiqu,Nujianglisuzu,Diqingcangzu,Lincangdiqu,Lasa,Changdudiqu,Shannandiqu,Rikazediqu,Naqudiqu,Alidiqu,Linzhidiqu,Xian,Tongchuan,Baoji,Xianyang,Weinan,Yanan,Hanzhong,Yulin,Ankang,Shangluodiqu,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Jiuquandiqu,Zhangyediqu,Wuweidiqu,Dingxidiqu,Longnandiqu,Pingliangdiqu,Qingyangdiqu,Linxiahuizu,Gannancangzu,Xining,Haidongdiqu,Haibeicangzu,Huangnancangzu,Hainancangzu,Guoluocangzu,Yushucangzu,Haiximengguzucangzu,Yinchuan,Shizuishan,Wuzhong,Guyuandiqu,Wulumuqi,Kelamayi,Tulufandiqu,Hamidiqu,Changjihuizu,Boertalamenggu,Bayinguolengmenggu,Akesudiqu,Kezilesukeerkezi,Kashendiqu,Hetiandiqu,Yilihasake,Tachengdi,Aletaidi,Xinjiang (Direct Units)
Beijing,,10.41,3.3,5.22,4.34,5.64,3.26,18.25,21.73,23.82,4.29,49.03,4.22,0.62,3.06,1.23,1.29,0.64,0.9,0.52,2.45,0.87,2.63,,1.0,1.0,0.09,5.36,1.46,,0.92,2.37,,,,0.14,0.79,1.61,0.83,0.59,0.6,1.58,1.62,0.7,1.42,0.23,0.43,0.6,2.44,1.84,0.7,1.26,0.61,0.68,1.15,0.99,0.66,0.76,1.3,1.93,2.36,1.82,1.23,0.99,1.11,0.17,1.47,2.03,2.45,1.09,1.24,1.72,0.41,0.21,0.11,0.42,0.18,0.29,0.5,0.19,0.23,0.33,0.49,0.18,0.17,0.28,0.2,0.08,0.2,0.07,0.06,0.06,0.1,0.13,0.14,0.17,0.12,0.38,0.76,0.23,0.28,0.52,0.07,0.47,0.79,0.26,0.21,0.83,0.29,,0.4,0.41,0.24,0.21,0.41,0.13,0.58,0.23,0.19,0.05,0.22,0.18,0.15,0.69,0.16,0.16,0.43,0.15,0.11,0.27,0.27,0.17,0.41,0.13,0.83,0.66,0.39,0.45,0.47,0.86,0.71,0.83,1.32,1.05,0.23,,0.51,2.18,2.09,0.61,1.66,0.39,0.57,0.79,0.59,1.78,0.98,0.5,0.57,2.35,0.55,0.54,0.71,1.36,1.02,4.45,1.68,1.7,0.06,,,,,,,0.51,,,,,,,0.19,0.25,0.12,0.28,0.26,0.36,0.36,0.29,0.16,0.34,0.24,0.25,0.26,0.14,0.1,0.07,0.17,0.09,0.05,0.05,0.05,0.22,0.05,0.14,,,0.05,,0.15,0.03,0.04,0.03,0.05,0.03,,0.07,,0.16,0.02,0.08,0.04,,,0.26,,,,,,0.17,1.15,,0.46,0.22,0.07,,0.05,0.03,0.41,0.86,0.17,0.08,0.05,0.48,0.08,0.13,0.13,0.66,0.1,1.05,0.1,0.11,,0.13,0.11,0.04,0.08,,,0.09,,,0.04,0.14,0.05,0.07,,0.05,0.07,,,0.23,0.07,,0.17,,,,,0.02,,,,,,,0.29,0.12,0.48,0.12,0.36,0.12,0.89,0.26,0.67,,0.18,0.1,0.51,0.18,0.75,,,,,,,,0.07,0.06,0.08,,0.08,,,,0.11,0.14,0.31,0.09,0.08,,0.19,0.14,,,0.08,0.09,0.16,0.01,0.1,0.04,0.02,0.1,0.04,0.04,
Tianjin,8.19,,2.98,32.52,7.04,7.17,2.81,5.31,4.06,5.84,18.39,18.3,3.9,0.34,1.95,0.87,0.76,0.34,1.06,0.49,1.09,0.91,0.85,,0.54,0.7,0.2,2.93,1.77,,0.58,0.63,,,,0.12,0.82,1.51,0.92,0.84,0.49,0.8,1.37,1.21,1.23,0.43,0.56,0.63,1.78,2.22,0.63,1.09,0.58,0.7,1.82,0.83,0.66,0.63,0.77,1.86,2.38,1.51,0.53,0.53,0.86,0.7,0.73,0.95,1.64,1.22,0.98,0.68,0.21,0.13,0.13,0.49,0.16,0.23,0.37,0.23,0.16,0.38,0.26,0.06,0.17,0.19,0.1,0.16,0.21,0.08,0.05,0.09,0.13,0.07,0.22,0.17,0.09,0.17,0.27,0.16,0.11,0.15,0.12,0.12,0.73,0.08,0.15,0.96,0.23,,0.18,0.44,0.22,0.06,0.1,0.08,0.25,0.14,0.18,,,0.13,0.16,0.12,0.04,0.07,0.12,,0.11,0.06,0.08,0.7,0.1,,0.87,0.77,0.68,0.33,1.37,1.05,0.79,0.8,0.85,0.92,0.26,,0.52,5.41,1.84,3.06,1.38,0.22,0.41,0.51,0.26,1.52,0.85,0.63,0.14,1.86,0.22,0.19,0.22,0.98,0.56,0.76,0.78,0.8,0.2,0.09,0.17,,0.12,,0.1,0.24,0.11,0.31,0.17,0.45,0.22,,0.12,0.08,0.04,,0.07,0.08,0.14,0.14,,,,,,0.05,0.07,,0.08,0.03,,,,,,0.02,,,0.05,,,,,,,,,,,,,0.05,0.13,,,0.23,,,,,,0.13,0.11,,0.18,0.08,0.04,,0.05,0.06,0.16,0.48,0.05,,0.05,0.11,0.03,0.05,,0.34,0.02,0.5,0.06,0.02,,0.09,,0.04,,,,,,,,0.04,0.06,0.02,,,,,,0.08,0.06,,0.4,,,,,,,,,,,,0.14,0.1,0.15,0.08,0.23,0.09,0.52,0.23,0.43,,0.17,,0.08,0.17,0.4,,,,,,,,,,,,,,,,,,0.06,0.05,0.02,,0.08,0.02,,,,,0.05,0.02,,,0.11,0.04,0.03,0.08,
Shijiazhuang,2.03,1.94,,3.07,2.89,10.05,29.71,18.96,5.71,3.61,5.97,1.7,19.43,1.11,1.12,10.89,0.72,0.47,0.68,1.99,0.49,2.6,0.44,,0.31,0.19,0.35,0.44,0.16,,0.1,0.34,,,,0.2,0.24,0.25,0.29,0.1,0.1,0.11,0.2,0.15,0.15,0.12,0.12,0.22,0.38,0.51,0.12,0.19,0.1,0.11,0.16,0.06,0.11,0.04,,0.27,0.09,0.1,0.08,,0.09,0.29,0.18,,0.12,0.05,0.18,,0.1,0.08,0.07,0.27,0.05,0.09,0.19,0.2,0.19,0.16,0.12,0.04,0.15,0.17,0.05,,0.25,,0.08,,0.16,,,0.15,0.06,0.08,0.1,0.07,,0.03,0.04,,0.1,,0.07,0.44,0.09,,0.04,0.13,0.09,0.04,,,0.12,0.08,0.08,,,,0.06,0.08,,0.06,0.14,0.11,,0.08,,0.29,,,0.54,0.47,0.55,0.25,0.52,0.5,0.6,0.43,0.3,0.28,0.28,,0.35,1.48,1.09,0.63,0.3,0.25,0.26,0.21,0.08,0.83,0.42,0.48,0.28,0.68,0.26,0.32,0.09,0.32,0.26,0.21,0.35,0.34,0.05,,,,,,,,,,,0.07,,,0.05,0.04,,0.05,,0.06,0.17,0.06,,0.05,,,,0.04,0.07,0.06,,0.03,,,0.02,0.05,,0.02,,,,,0.04,,,0.03,0.05,0.06,,,,0.16,,,,,0.02,1.18,,,,,,0.06,0.38,,0.21,0.05,,,,0.04,0.1,,0.05,,0.04,0.1,0.04,,,0.19,0.09,0.23,0.09,,0.02,,0.02,0.04,,0.03,,,,,,0.04,,0.01,,0.04,0.04,,,,0.04,,0.08,,,,,,,,,,,,0.12,,0.08,0.05,0.1,0.09,0.12,1.18,0.62,,0.06,0.1,0.17,,0.21,,,,,,,,0.1,0.06,0.04,,,,,,,0.12,0.17,0.06,0.14,,0.06,0.04,,,0.03,,0.02,,,,,0.05,,,
Tangshan,1.88,16.62,2.35,,36.86,1.03,1.05,1.85,4.76,16.6,2.72,2.09,1.56,0.23,2.41,0.8,0.47,0.09,0.51,0.55,0.21,0.63,0.37,,0.27,0.3,0.13,2.84,0.74,,0.35,0.35,,,,0.16,0.56,0.84,0.98,0.51,0.37,0.76,1.18,0.89,0.99,1.0,0.48,0.3,2.3,3.06,0.27,0.47,0.41,0.72,0.56,0.28,0.32,0.31,0.12,0.62,0.58,0.41,0.2,0.41,0.33,0.62,0.24,0.11,0.29,0.45,0.35,0.17,0.08,,0.09,0.16,0.07,0.09,0.1,0.08,0.03,0.1,0.06,,0.13,0.05,,,,,0.04,,,,0.14,0.13,,,0.06,,,0.06,,0.15,0.12,0.09,,0.28,0.09,,,0.08,0.08,,,,,,,0.04,,0.04,,,0.06,,,,,,,0.62,,,0.21,0.28,0.22,0.15,0.51,0.33,0.31,0.33,0.32,0.55,0.12,,0.27,0.59,0.31,0.91,0.23,0.1,0.08,0.09,,0.36,0.23,0.17,0.08,0.45,0.07,,,0.18,0.12,0.18,0.22,0.13,,,,,,,,0.06,,,0.06,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.08,,,,,,0.03,,,0.09,0.02,,,,,0.14,,,,,,,0.12,,,,,,,0.03,,,,,,,0.05,,,,,0.25,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.12,0.14,0.31,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.04,0.02,,,0.02,,,,,,,,0.06,,0.05,0.01,,
Qinhuangdao,0.61,1.03,0.81,13.17,,0.15,0.15,0.4,0.59,3.27,0.37,0.4,0.28,0.05,0.44,0.07,,0.04,,0.12,,0.06,,,0.04,0.04,0.02,0.56,0.37,,,0.05,,,,0.02,0.49,0.62,0.33,0.29,0.1,0.24,0.97,0.63,0.6,0.22,0.46,0.15,0.73,16.16,0.24,0.24,0.16,0.17,0.43,0.6,0.19,0.06,0.15,0.5,0.52,0.3,0.32,0.14,0.19,0.37,0.17,,0.46,0.45,0.21,0.34,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,0.06,0.07,0.05,,0.08,0.14,0.12,,,0.29,,,,0.09,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,
Handan,1.53,3.43,7.17,1.1,0.56,,18.47,1.74,0.5,0.55,1.19,0.67,2.12,0.34,0.37,0.69,5.47,1.3,0.2,1.49,0.37,0.32,0.87,,0.08,0.14,,0.18,0.03,,,0.08,,,,,0.11,0.2,0.15,0.05,,0.22,0.06,0.12,0.04,0.04,0.12,0.03,0.15,0.27,0.03,0.06,0.02,0.01,0.05,0.12,0.03,,0.06,0.06,0.09,0.03,0.04,,0.04,,,0.11,,,0.05,,,0.08,0.05,0.22,0.05,0.05,,0.14,0.11,0.08,0.16,0.05,0.12,0.07,,,,0.04,0.04,0.06,,0.12,,0.12,,0.06,0.16,0.06,0.04,,0.1,,,,0.03,0.12,0.05,,0.38,0.08,,0.08,,,,,,0.04,,0.04,,,,,0.11,,0.13,,,,,,0.53,0.72,0.33,0.2,0.3,0.36,0.43,0.55,0.47,0.27,1.4,,0.33,0.58,7.34,0.37,0.71,0.37,0.19,0.26,0.15,9.82,1.54,0.95,0.3,5.98,0.19,0.16,0.21,0.26,0.18,0.1,0.19,0.16,,,,,,,,,,,,,,,0.05,,,,,,,0.06,,,,,,,,,,,,0.03,,,,,,,,,0.05,,,,,,,,,0.08,,0.07,0.05,,,0.26,,,,,,,0.08,,,,,,,,,0.1,,,,,,,,0.09,,0.13,,0.02,,,,,,,,,,,,,,,,0.06,0.03,,,0.09,0.04,,0.17,,,,,0.02,,,,,,,0.09,,,0.03,0.05,0.11,0.14,0.26,0.14,,0.04,,,,0.06,,,,,,,,,,0.04,,,,,,,0.06,0.04,0.02,,,,,,,0.02,,0.17,0.02,,0.06,0.02,0.04,,,
Xingtai,0.85,0.94,17.45,0.7,0.49,16.8,,1.95,0.67,0.5,1.36,0.47,7.82,0.27,0.27,1.06,1.05,0.31,0.17,1.53,0.18,0.5,0.35,,0.06,0.06,0.04,0.16,0.09,,,0.08,,,,0.06,0.06,0.13,0.05,,0.07,,0.08,0.05,0.07,0.05,0.04,,0.13,,0.04,,,,0.04,,0.03,,,0.08,,,,0.09,0.06,,0.07,0.05,0.12,,0.07,,,,0.04,0.14,,,0.07,0.07,0.04,0.05,0.11,,0.09,0.05,,,,,,,,,,0.09,,,0.04,,,,0.03,,,,0.03,0.1,,,0.07,0.07,,,,,0.07,,,,,,,,,,,,,,,,,,0.37,0.36,0.33,0.2,0.26,0.22,0.39,0.28,0.35,0.09,0.26,,0.26,1.69,6.82,0.65,0.3,0.15,0.11,0.11,0.06,0.55,0.33,0.25,0.15,0.45,0.17,0.14,,0.18,0.12,,0.09,0.13,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,0.04,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.06,,,,0.35,,,,,,,,,,,0.04,,,,,0.12,,,,,,,,,,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,0.02,,,,,,,0.06,,0.07,0.03,,0.07,,0.35,0.18,,0.05,,,,,,,,,,,,,,,,,,,,,0.08,0.07,0.05,0.02,,0.02,,,,0.01,0.03,0.04,,,,,,0.01,,
Baoding,8.58,3.26,15.89,3.02,1.89,2.76,2.37,,7.09,3.0,10.78,7.59,8.53,0.4,2.69,1.56,0.35,0.21,2.13,0.27,0.3,2.85,0.34,,0.4,0.28,0.13,1.15,0.37,,0.23,0.83,,,,0.02,0.22,0.23,0.22,0.16,0.24,0.36,0.33,0.17,0.43,0.13,0.12,0.26,0.58,0.58,0.14,0.16,0.07,0.23,0.21,0.09,0.2,0.39,0.21,0.31,0.26,0.24,0.2,0.09,0.18,0.1,0.07,0.05,0.25,0.15,0.15,0.17,,,,0.17,0.06,0.05,0.12,0.05,0.06,0.08,0.06,,0.06,0.1,,,,,,,,,,0.06,,0.05,0.07,,0.07,,,,,,0.08,0.26,0.05,,,0.25,,0.04,,,,,,,,,,0.1,,0.1,0.11,,,,,0.1,,,0.28,0.23,0.24,0.15,0.61,0.38,0.48,0.22,0.31,0.24,0.21,,0.3,0.73,0.56,0.83,0.33,0.13,0.24,0.15,0.22,0.43,0.48,0.25,0.25,0.55,0.61,0.17,0.12,0.44,0.29,0.26,0.3,0.31,,,,,,,,,,,,,,,,,,0.05,0.07,,,,,,,0.07,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,0.03,,,,,,,0.28,,,,,,0.04,0.08,,,0.04,,,,,0.09,0.14,0.04,,,0.15,,0.03,0.08,0.11,,0.19,,,0.05,,,,0.05,,,,,,,,,,,0.03,,,,,,,0.17,,,,,0.04,,,,,,,0.07,0.05,,,0.08,0.04,0.13,0.28,,,0.11,0.02,0.04,,0.06,,,,,,,,0.04,,0.03,,,,,,,0.08,0.06,,0.03,,,,,,0.01,,0.05,0.02,,,0.02,0.03,,,
Zhangjiakou,3.18,0.99,1.77,1.42,0.74,0.33,0.25,1.99,,3.46,0.54,0.6,0.28,0.11,7.51,0.12,0.11,0.06,1.17,0.06,0.11,0.19,,,1.07,0.94,0.12,0.89,0.18,,0.1,14.32,,,,0.02,0.04,0.09,0.06,0.04,0.01,,0.1,0.12,0.2,0.04,0.08,0.06,0.11,0.12,0.04,,,0.01,0.11,,0.1,,0.06,0.08,0.06,,,,0.05,,,,,,0.03,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.1,,0.15,,0.1,,,0.11,,,0.08,0.08,,0.07,,,,,,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.08,0.01,,0.03,,,,,,,,,,,,0.01,,
Chengde,2.15,1.09,0.81,7.14,3.56,0.14,0.1,0.65,2.92,,0.31,0.78,0.15,,0.16,,0.05,,0.07,,,0.04,,,0.14,0.04,0.05,8.12,0.59,,0.32,5.47,,,,0.06,0.12,0.12,0.21,0.05,0.03,0.15,0.21,0.37,0.22,0.05,0.18,0.16,5.16,0.39,0.04,0.1,0.09,0.01,,0.06,0.11,0.15,0.12,,0.04,0.06,0.08,0.02,0.05,0.04,,0.05,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.04,,0.07,,0.08,,0.06,,,,,,,0.07,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
