City_EN,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Lvliangdiqu,Huhehaote,Baotou,Wuhai,Chifeng,Tongliao,Hulunbeier,Xingan,Xilinguole,Wulanchabu,Yikezhao,Bayannaoer,Alashan,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Songyuan,Baicheng,Yanbianchaoxianzu,Haerbin,Qiqihaer,Jixi,Hegang,Shuangyashan,Daqing,Yichun,Jiamusi,Qitaihe,Mudanjiang,Heihe,Suihua,Daxinganlingdiqu,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou,Nantong,Lianyungang,Huaiyin,Yancheng,Yangzhou,Zhenjiang,Taizhou,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou,Chaohu,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,Jian,Yichun,Fuzhou,Shangrao,Jinan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Enshitujiazumiaozu,Hubei (Direct Units),Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Xiangxitujiazumiaozu,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Chaozhou,Jieyang,Yunfu,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin,Nanningdiqu,Liuzhoudiqu,Hezhoudiqu,Baisediqu,Hechidiqu,Haikou,Sanya,Munidiqu,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,Guangan,Dazhou,Yaan,Bazhong,Ziyang,Abacangzuqiangzu,Ganzicangzu,Liangshanyizu,Guiyang,Liupanshui,Zunyi,Anshun,Tongrendiqu,Qianxinanbuyizumiaozu,Bijiediqu,Qiandongnanmiaozudongzu,Qiannanbuyizumiaozu,Kunming,Qujing,Yuxi,Zhaotongdiqu,Chuxiongyizu,Honghehanizuyizu,Wenshanzhuangzumiaozu,Simaodiqu,Xishuangbannadaizu,Dalibaizu,Baoshandiqu,Dehongdaizujingpozu,Lijiangdiqu,Nujianglisuzu,Diqingcangzu,Lincangdiqu,Lasa,Changdudiqu,Shannandiqu,Rikazediqu,Naqudiqu,Alidiqu,Linzhidiqu,Xian,Tongchuan,Baoji,Xianyang,Weinan,Yanan,Hanzhong,Yulin,Ankang,Shangluodiqu,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Jiuquandiqu,Zhangyediqu,Wuweidiqu,Dingxidiqu,Longnandiqu,Pingliangdiqu,Qingyangdiqu,Linxiahuizu,Gannancangzu,Xining,Haidongdiqu,Haibeicangzu,Huangnancangzu,Hainancangzu,Guoluocangzu,Yushucangzu,Haiximengguzucangzu,Yinchuan,Shizuishan,Wuzhong,Guyuandiqu,Wulumuqi,Kelamayi,Tulufandiqu,Hamidiqu,Changjihuizu,Boertalamenggu,Bayinguolengmenggu,Akesudiqu,Kezilesukeerkezi,Kashendiqu,Hetiandiqu,Yilihasake,Tachengdi,Aletaidi,Xinjiang (Direct Units),Jiyuan,Xiantao,Qianjiang,Tianmen,Shennongjia,Wuzhishan,Qionghai,Danzhou,Wenchang,Wanning
Beijing,,9.3,2.59,5.97,3.78,4.79,2.91,16.76,21.2,21.54,3.79,38.08,3.55,0.7,2.74,1.09,0.94,0.62,0.7,0.4,2.44,0.89,2.13,,1.4,0.79,0.16,4.06,1.09,,0.83,1.9,,,,0.12,0.76,1.38,0.64,0.66,0.45,1.19,1.16,0.74,1.35,0.31,0.44,0.61,2.22,2.0,0.74,1.11,0.55,0.72,0.84,0.59,0.66,0.85,2.55,1.29,1.61,1.69,0.82,0.75,0.81,0.15,1.03,1.17,2.11,0.76,0.97,0.86,0.37,0.21,0.15,0.42,0.19,0.24,0.51,0.2,0.27,0.54,0.46,0.11,0.19,0.26,0.18,0.16,0.25,0.05,0.04,0.09,0.14,,0.12,0.19,0.16,0.29,1.05,0.17,0.1,0.84,0.12,0.29,0.54,0.07,0.13,0.95,0.24,,0.41,0.43,0.65,0.08,0.4,0.1,0.62,0.13,0.16,0.04,0.17,0.2,0.13,0.45,0.31,0.09,0.53,0.12,0.2,0.19,0.44,0.15,0.4,0.12,0.77,0.69,0.41,0.48,0.53,0.79,0.76,0.69,1.08,0.7,0.27,,0.47,1.95,1.6,0.57,1.39,0.35,0.4,0.75,0.5,1.31,0.49,0.48,0.43,1.47,0.45,0.65,0.44,1.38,0.91,3.77,2.17,1.95,0.3,0.32,0.63,0.46,0.71,0.16,0.49,1.38,0.43,0.57,0.61,1.41,0.17,,0.19,0.17,0.16,0.29,0.24,0.21,0.34,0.46,0.16,0.14,0.17,0.41,0.19,0.25,0.12,0.12,0.15,0.09,0.04,,0.03,0.12,0.04,0.03,0.04,,0.05,0.02,0.03,0.02,0.04,,0.05,0.05,,0.09,0.03,0.12,0.08,0.17,0.14,0.01,0.02,0.18,,,,,,0.17,0.85,,0.53,0.15,0.12,0.11,0.11,0.04,0.24,0.94,0.22,0.04,0.11,0.34,0.07,0.16,0.06,0.41,0.1,1.01,0.07,,0.01,0.43,0.11,,0.1,0.05,,,,,0.05,0.12,0.11,0.02,,0.08,0.14,0.04,,0.41,0.09,,0.13,,0.03,,,0.05,,,,,0.39,,0.28,0.28,0.35,0.1,0.34,0.13,0.65,0.18,0.23,,0.18,0.04,0.16,0.28,1.01,,,,,,,,0.11,0.07,0.09,,,,0.03,,,0.05,0.25,0.03,0.08,,0.26,0.08,,,0.04,0.02,0.05,0.06,0.02,0.25,0.13,0.05,0.02,0.02,,0.17,0.59,0.36,0.33,,0.24,0.76,,0.28,0.52
Tianjin,8.52,,2.54,31.01,6.43,6.07,2.47,5.24,4.54,6.72,17.54,21.06,3.53,0.54,2.25,0.93,0.43,0.29,1.25,0.44,0.68,0.79,0.69,,0.6,0.66,0.24,2.57,1.44,,0.65,0.7,,,,0.1,0.82,1.62,0.67,0.84,0.48,0.8,1.05,0.87,1.11,0.42,0.49,0.54,1.5,2.42,0.65,1.03,0.46,0.87,1.5,0.84,0.35,0.66,0.82,1.09,1.62,1.05,0.56,0.46,0.66,0.8,0.58,0.56,0.94,0.78,0.73,0.32,0.25,0.12,0.21,0.46,0.17,0.21,0.43,0.26,0.13,0.37,0.27,0.07,0.18,0.26,0.12,0.13,0.16,0.1,0.08,0.13,0.13,0.05,0.42,0.18,0.16,0.15,0.31,0.18,0.11,0.14,0.09,0.07,0.53,0.09,0.12,0.73,0.21,,0.12,0.27,0.23,0.08,0.31,0.07,0.17,0.24,0.15,,0.09,0.05,0.13,0.12,0.11,,0.28,,0.12,,,0.8,0.31,0.12,0.95,0.81,0.59,0.37,1.02,0.86,0.93,0.63,0.87,0.85,0.29,,0.52,4.47,1.46,2.91,1.11,0.2,0.27,0.3,0.25,1.02,0.76,0.39,0.17,1.29,0.22,0.24,0.18,0.6,0.45,0.55,0.69,0.65,0.22,0.12,0.34,0.12,0.18,0.06,0.55,0.99,0.19,1.27,0.27,0.71,0.18,,0.08,0.05,0.05,0.09,0.05,0.07,0.13,0.06,0.05,0.05,,0.08,0.06,,0.07,0.03,,0.08,,0.04,,,0.02,,,0.03,0.03,,,0.04,0.03,0.04,,,,0.08,0.06,,0.01,0.12,0.07,,,0.22,,,,,,0.1,0.13,,0.21,0.08,0.02,,0.04,0.03,0.11,0.09,,0.02,0.03,0.04,0.03,0.07,,0.15,0.06,0.22,,0.02,,0.06,0.02,,,,,,,,,0.03,0.03,,,,,,,0.19,0.08,,0.28,,,,,,,,,,,,0.12,0.1,0.18,0.05,0.13,0.05,0.22,0.22,0.36,,0.11,0.11,0.06,0.1,0.17,,,,,,,,0.03,,0.03,,,,0.01,,,0.06,0.19,0.13,0.06,,0.12,,,,0.03,0.02,0.22,0.04,,,0.06,0.05,0.02,0.02,,0.1,0.14,0.18,0.38,,0.06,0.34,,,0.14
Shijiazhuang,1.85,2.01,,3.34,2.76,11.11,30.21,19.95,6.5,4.35,6.45,2.13,21.0,1.26,1.06,12.83,0.7,0.41,0.48,1.91,0.53,3.09,0.57,,0.44,0.43,0.11,0.58,0.14,,0.18,0.67,,,,0.12,0.21,0.28,0.25,0.11,0.08,0.14,0.21,0.29,0.24,0.14,0.16,0.11,0.31,0.41,0.11,0.2,0.04,0.09,0.15,0.14,0.11,,0.21,0.25,0.08,0.06,0.18,0.3,0.15,0.21,0.12,,0.26,0.13,0.15,0.1,0.09,0.1,0.05,0.31,0.08,0.09,0.26,0.19,0.07,0.12,0.15,0.1,0.14,0.08,0.08,0.09,0.21,0.05,0.07,0.06,0.11,,0.08,0.14,,0.1,0.06,0.09,0.03,0.03,0.04,0.06,0.1,0.06,0.06,0.15,0.09,,0.04,0.09,,0.03,,0.03,,0.07,0.1,,,,0.05,0.09,,,0.15,,,,,0.21,,,0.55,0.44,0.48,0.23,0.52,0.47,0.51,0.36,0.44,0.36,0.33,,0.44,1.42,1.0,0.73,0.42,0.28,0.2,0.28,0.08,0.78,0.46,0.47,0.23,0.57,0.25,0.22,0.11,0.31,0.21,0.21,0.29,0.29,0.07,,0.37,0.13,0.16,0.03,0.1,,,0.09,,0.12,,,0.07,0.03,0.03,,,0.05,0.09,0.07,0.03,,,0.1,,,0.04,,,0.05,0.06,0.03,,,0.02,,,,0.04,,,,,,0.1,0.04,,0.04,,0.11,0.02,0.17,0.14,0.02,0.02,0.89,,,,,,0.03,0.26,,0.17,0.07,0.06,,,0.02,0.07,0.05,0.04,0.06,0.03,0.06,0.03,0.04,,,,0.23,,,,0.04,0.03,,,,,,,,,0.07,,0.02,,0.03,,,,0.12,0.04,,,,,,,0.04,,,,,,,0.13,0.06,0.08,0.05,0.12,0.13,0.22,0.89,0.34,,0.14,0.06,0.12,0.03,0.16,,,,,,,,0.09,,0.07,,0.04,,,,,0.26,0.15,0.09,0.06,,0.04,0.03,,,0.01,,0.05,0.06,,0.04,,0.04,0.02,,,0.12,,,0.3,,0.24,0.14,,,0.12
Tangshan,1.97,15.78,1.91,,37.19,1.0,0.98,1.86,3.97,19.56,2.66,3.0,1.42,0.2,2.14,0.57,0.27,0.13,0.28,0.7,0.11,0.39,0.34,,0.24,0.34,0.54,2.46,0.46,,0.15,0.7,,,,0.13,0.64,0.79,0.93,0.47,0.32,0.73,1.38,0.98,0.62,0.59,0.56,0.43,2.35,3.2,0.29,0.37,0.35,0.79,0.48,0.49,0.19,0.25,0.16,0.4,0.55,0.18,0.18,0.12,0.31,0.07,0.17,0.2,0.44,0.27,0.32,0.32,,0.04,0.06,0.11,0.07,0.04,0.11,0.13,,0.09,0.07,0.07,0.11,,,,,,,,,,0.19,0.11,,,,0.07,0.03,0.03,,0.03,0.1,,,0.08,0.04,,,0.07,,,0.1,,0.09,,,0.04,,0.03,0.05,,0.07,,,,,,,0.07,0.1,,0.2,0.23,0.24,0.14,0.37,0.32,0.36,0.2,0.25,0.48,0.14,,0.18,0.55,0.33,0.62,0.26,0.06,0.06,,0.07,0.22,0.13,0.09,,0.23,,0.08,,,0.09,0.19,0.17,0.13,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.06,,0.11,0.08,0.09,,,0.02,,,,,,,,,,,,,,,,,,,,0.06,,0.37,,,0.02,,,,,,0.08,0.05,,,,0.08,,,,0.05,,,0.09,,0.06,0.1,,0.04,0.04
Qinhuangdao,0.49,1.51,0.53,15.0,,0.17,0.2,0.56,0.78,4.42,0.52,0.68,0.29,0.04,0.37,0.08,0.05,0.04,0.07,0.12,,0.09,,,0.06,,0.04,0.6,0.29,,0.1,0.1,,,,,0.42,0.51,0.39,0.24,0.17,0.31,0.87,0.36,0.62,0.21,0.39,0.3,0.88,14.88,0.29,0.35,0.25,0.44,0.33,0.37,0.25,0.21,0.44,0.5,0.5,0.33,0.11,0.08,0.28,0.73,0.2,0.3,0.9,0.34,0.22,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,0.06,0.12,0.04,0.06,0.09,0.16,0.1,,0.07,0.09,0.04,,0.07,0.11,,0.14,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,
Handan,1.32,3.03,7.13,0.89,0.35,,19.85,1.75,0.93,0.63,1.26,0.75,2.1,0.44,0.31,0.94,5.95,1.26,0.22,1.26,0.46,0.42,0.96,,0.08,0.13,0.04,0.12,0.09,,,0.16,,,,0.04,0.05,0.22,0.12,,0.08,0.07,0.06,0.09,,,0.04,0.02,0.17,0.1,0.06,0.07,,0.11,0.18,,0.02,0.05,,0.08,0.06,0.03,,0.02,,,,,,0.09,0.03,,0.06,,0.07,0.24,0.05,0.05,0.06,0.15,,0.09,0.15,0.04,0.09,0.12,,,,,0.07,,,,,0.09,,0.06,0.09,0.06,0.06,,0.12,0.04,,,0.05,0.11,0.05,,0.58,0.07,,0.08,,,,,,,0.07,,,,,,0.1,0.08,,,,,,,0.44,0.5,0.31,0.28,0.25,0.36,0.49,0.49,0.44,0.33,0.7,,0.3,0.57,6.78,0.29,0.8,0.35,0.27,0.29,0.22,10.44,1.56,0.96,0.34,5.66,0.26,0.13,0.22,0.25,0.26,0.13,0.19,0.09,,0.07,0.14,0.09,,0.05,0.1,,0.19,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.03,,,,,,,,,0.23,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,0.02,,,,0.02,,0.13,,,,,0.02,,,,,,,0.08,0.02,0.05,0.06,0.08,0.11,0.09,0.23,0.3,,0.04,0.11,0.06,,,,,,,,,,,0.05,0.02,,,0.02,,,,,0.05,,,,,,,,0.02,,0.04,0.04,,,,0.01,0.01,,,0.28,0.17,,0.42,,0.18,0.12,,0.03,0.12
Xingtai,0.83,1.15,19.58,0.69,0.36,21.64,,2.0,0.88,0.43,1.38,0.7,8.48,0.38,0.37,1.24,1.09,0.31,0.17,1.79,0.39,0.64,0.26,,0.2,0.07,0.02,0.09,,,0.03,0.1,,,,0.04,0.05,0.15,0.06,0.02,0.05,,0.04,0.06,0.05,,0.02,0.02,0.14,0.04,,0.05,,,0.02,0.02,0.02,0.1,0.04,0.06,,0.09,0.07,,,,0.03,0.05,,,,,,,0.05,0.13,,0.03,,0.07,,0.09,0.07,0.05,,0.08,,,,,0.08,,,,,,,,0.08,0.05,,,,,,,0.05,0.1,0.03,,,0.06,,,,,,,,,,,,,,,,,,,,,,,0.43,0.33,0.29,0.2,0.16,0.22,0.39,0.25,0.39,0.14,0.25,,0.34,1.51,6.86,0.43,0.32,0.15,0.13,0.18,0.06,0.67,0.54,0.26,0.2,0.53,0.16,0.11,0.09,0.22,0.12,,0.08,,,,0.17,,,0.06,,,,,,,,,,,,,,,,0.05,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,0.43,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.04,0.05,0.03,,0.43,0.14,,0.06,0.09,0.06,0.03,,,,,,,,,,,0.03,,0.02,,0.03,,,0.05,0.11,0.02,0.02,,,,,,,,0.02,0.05,,,,0.02,,,,0.12,0.19,,,,,,,0.04,0.18
Baoding,10.86,4.22,17.61,3.17,2.05,2.52,3.07,,7.88,2.99,11.86,10.78,8.75,0.48,3.42,1.38,0.33,0.23,1.7,0.45,0.61,3.14,0.46,,0.63,0.65,0.06,1.16,0.34,,0.09,0.97,,,,0.1,0.2,0.32,0.34,0.17,0.08,0.16,0.31,0.15,0.44,0.16,0.14,0.18,0.46,0.62,0.13,0.22,0.14,0.07,0.23,0.22,0.28,0.27,0.04,0.25,0.26,0.12,0.03,0.1,0.09,,0.13,0.05,0.22,0.09,0.17,0.21,,0.04,0.06,0.25,0.05,0.09,0.14,0.12,0.05,0.14,0.06,0.04,,0.1,,,,0.07,,,,0.05,,,0.07,0.1,0.08,0.13,0.06,,0.09,,0.12,0.08,0.06,0.27,0.09,,0.07,0.26,0.06,,,,,0.05,,,,0.05,0.05,,,0.05,,,0.11,,,,,,0.32,0.29,0.29,0.14,0.43,0.38,0.46,0.27,0.25,0.27,0.11,,0.27,0.78,0.74,0.83,0.39,0.13,0.21,0.25,0.17,0.46,0.41,0.22,0.14,0.49,0.38,0.15,0.16,0.39,0.3,0.26,0.38,0.35,0.07,,0.2,,0.13,0.03,,0.1,0.11,0.12,0.13,0.09,0.12,,0.04,0.05,,0.05,0.06,,,0.09,,0.06,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.03,,,0.06,0.03,,,0.26,,,,,,0.04,0.19,,0.14,0.04,0.03,,,0.02,0.08,0.19,0.04,,,0.08,0.02,0.03,,,,0.17,0.05,,0.01,0.03,0.03,0.03,,,,,,,0.05,,,,,0.03,,,,0.1,,,0.05,,,,,,,,,,,,0.11,0.09,0.09,0.04,0.11,0.03,0.16,0.26,0.23,,0.06,0.02,0.03,,0.09,,,,,,,,0.04,0.01,0.05,,,,,,,0.03,0.07,0.02,0.03,,0.04,0.01,,,0.01,,0.04,0.02,,0.02,0.16,0.02,,,,0.23,0.07,,0.12,,,0.09,,0.06,0.18
Zhangjiakou,3.38,1.01,1.4,1.28,0.68,0.27,0.34,2.49,,4.2,0.64,1.07,0.48,0.1,8.19,0.05,0.03,0.08,1.44,0.05,0.09,0.2,0.06,,1.33,0.83,0.24,0.75,0.1,,0.06,15.94,,,,0.18,0.06,0.11,0.09,0.02,0.08,,0.19,0.09,0.2,0.05,0.04,0.05,0.28,0.13,0.02,0.08,,,,,0.05,0.05,,,0.06,,0.03,,0.04,,0.06,0.15,0.18,0.04,0.05,,,,,,,,,,0.05,0.04,,,,0.05,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,0.05,,0.07,0.07,0.06,,0.11,0.06,0.04,0.07,0.02,,0.09,0.13,0.08,0.12,,,,,,0.07,0.06,,,0.06,,,,,,0.11,0.08,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.08,,,,,,,,,,,0.03,,0.04,,,,,,,,,0.05,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.1
Chengde,2.11,1.11,0.76,7.13,3.74,0.13,0.13,0.68,3.37,,0.36,0.98,0.19,0.02,0.28,0.08,,,0.07,0.02,,0.05,,,0.19,0.12,0.04,8.91,0.8,,0.24,5.48,,,,0.01,0.11,0.1,0.15,0.1,0.07,0.08,0.18,0.27,0.31,0.1,0.19,0.09,5.76,0.59,0.06,0.11,0.1,0.03,0.06,0.02,0.05,0.34,0.11,0.11,0.11,,,0.02,0.07,0.07,0.03,,0.12,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.03,,,,,0.05,0.07,,,0.07,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.01,0.2,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
